title,author,length
Dawnshard,Brandon Sanderson,Length: 7 hrs and 5 mins
What We Owe the Future,William MacAskill,Length: 8 hrs and 55 mins
Defiance of the Fall 6,"TheFirstDefier,JF Brink",Length: 23 hrs
The Light We Carry,Michelle Obama,Length: 10 hrs
All Good People Here,Ashley Flowers,Length: 10 hrs and 35 mins
Royally Not Ready,Meghan Quinn,Length: 14 hrs and 31 mins
Fairy Tale,Stephen King,Length: 24 hrs
Tease,Melanie Harlow,Length: 9 hrs and 4 mins
Gilded Ghost,Kyle Kirrin,Length: 21 hrs and 28 mins
Invent,Dakota Krout,Length: 12 hrs and 14 mins
Desperation in Death,J. D. Robb,Length: 13 hrs and 11 mins
Code Name: Omega,Sawyer Bennett,Length: 6 hrs and 45 mins
Local Girl Missing,Lisa Regan,Length: 11 hrs and 52 mins
He Who Fights with Monsters 7,"Shirtaloon,Travis Deverell",Length: 20 hrs and 7 mins
Renegade Mage,Inadvisably Compelled,Length: 12 hrs and 20 mins
Roadkill,Dennis E. Taylor,Length: 8 hrs and 58 mins
Unraveling the Threads of Fate,Alice Winters,Length: 10 hrs and 11 mins
The Lost Nebula,Vaughn Heppner,Length: 14 hrs and 4 mins
The Ink Black Heart,Robert Galbraith,Length: Not Yet Known
The Mad Mage of Sevendor,Terry Mancour,Length: Not Yet Known
Victory at Prescott High,C.M. Stunich,Length: 16 hrs and 41 mins
The False Hero: Volume 5,Michael Plymel,Length: 12 hrs and 28 mins
Fractured Freedom,Shain Rose,Length: 10 hrs and 27 mins
Sweep of the Blade (Dramatized Adaptation),Ilona Andrews,Length: 7 hrs and 51 mins
Forever Protected,Kathleen Brooks,Length: 7 hrs and 5 mins
Meet Me Halfway,Lilian T. James,Length: 9 hrs and 34 mins
Twisted Hate,Ana Huang,Length: 15 hrs
The Primal Hunter 3,Zogarth,Length: 18 hrs and 23 mins
Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins
Garden of Serpents,C.N. Crawford,Length: 7 hrs and 57 mins
The Rational Male - The Players Handbook,Rollo Tomassi,Length: 12 hrs and 33 mins
A Grim Baby,M.K. Eidem,Length: 6 hrs and 1 min
Overkill,Sandra Brown,Length: 10 hrs and 10 mins
Freaky Crypts,Amanda M. Lee,Length: 9 hrs and 14 mins
Cobalt Blue,Matthew Reilly,Length: 3 hrs and 42 mins
The Narrator,K. L. Slater,Length: 8 hrs and 5 mins
Revenge,Tom Bower,Length: 16 hrs and 22 mins
A Case of Perplexity in Piccadilly,Clara Benson,Length: 6 hrs and 10 mins
Dragons and Demons,Kel Kade,Length: 18 hrs and 12 mins
"The Rising of the Shield Hero, Volume 3",Aneko Yusagi,Length: 7 hrs and 55 mins
Revenge in the Roses,Dale Mayer,Length: 5 hrs and 41 mins
The Challenge,Danielle Steel,Length: 6 hrs and 48 mins
Carnal,Maggie Cole,Length: 10 hrs and 23 mins
Hidden Bones,Rita Herron,Length: 8 hrs and 58 mins
Mist and Marrow,Mary Calmes,Length: 8 hrs and 24 mins
Put Your Ass Where Your Heart Wants to Be,Steven Pressfield,Length: 1 hr and 55 mins
The Obesity Fix,"James DiNicolantonio,Siim Land",Length: 6 hrs and 53 mins
Final Orders,Gregory Ashe,Length: 12 hrs and 10 mins
Rising Insanity,KamikazePotato,Length: 27 hrs and 28 mins
Savage Bonds,J Bree,Length: 10 hrs and 30 mins
Flame and Fortune,Jana DeLeon,Length: 8 hrs and 30 mins
Carrie Soto Is Back,Taylor Jenkins Reid,Length: 10 hrs and 30 mins
Dark Horse,Shayne Silvers,Length: 12 hrs and 4 mins
Fabric,Victoria Finlay,Length: 17 hrs and 30 mins
Royal Exposé,Jenny Frame,Length: 7 hrs and 11 mins
"The Conversion Code, 2nd Edition",Chris Smith,Length: 8 hrs and 45 mins
The Brain over Binge Recovery Guide,Kathryn Hansen,Length: 10 hrs and 20 mins
Gem Knight,Kirk Mason,Length: 7 hrs and 42 mins
Star Wars: The Princess and the Scoundrel,Beth Revis,Length: 12 hrs and 45 mins
The Orville,Seth MacFarlane,Length: 3 hrs and 5 mins
Rise of the Weakest Summoner: Volume I,J. R. Saileri,Length: 8 hrs and 56 mins
Jackie & Me,Louis Bayard,Length: 8 hrs and 10 mins
Blood Bonds,J Bree,Length: 10 hrs and 19 mins
Hunger,Nicoli Gonnella,Length: 28 hrs and 7 mins
The Do-Over,T L Swan,Length: Not Yet Known
Mike Bravo Ops: Rogue,Eden Finley,Length: 7 hrs and 35 mins
"Girl, Forgotten",Karin Slaughter,Length: 15 hrs and 45 mins
The Dark City,Chris Wraight,Length: 10 hrs and 29 mins
Soul Fraud,Andrew Givler,Length: 10 hrs and 39 mins
Ruby Fever,Ilona Andrews,Length: 12 hrs and 26 mins
Narrator,Landon Beach,Length: 14 hrs and 23 mins
The Shadow Watch Saga,S.A. Klopfenstein,Length: 55 hrs and 17 mins
Bride of the Shadow King,Sylvia Mercedes,Length: 12 hrs and 5 mins
Control System,Tom Larcombe,Length: 13 hrs and 1 min
Only for the Weekend,Riley Hart,Length: 7 hrs and 53 mins
"First Command Box Set: Spacers, Books 1-6",Scott Bartlett,Length: 43 hrs and 54 mins
Primeval Knowledge,V.A. Lewis,Length: 22 hrs and 39 mins
Queenology,R. C. Blakes Jr.,Length: 3 hrs and 59 mins
COVID-19 and the Global Predators,"Peter Roger Breggin,Ginger Breggin",Length: 24 hrs and 9 mins
Beautifully Unexpected,Lily Morton,Length: 7 hrs and 7 mins
Blood Trail,David J. Gatward,Length: 9 hrs and 4 mins
Big Girl,Mecca Jamilah Sullivan,Length: 12 hrs and 4 mins
Long Live the Pumpkin Queen,Shea Ernshaw,Length: 6 hrs and 28 mins
The Return,Dick Morris,Length: 6 hrs and 47 mins
Head Case,M. R. Forbes,Length: 8 hrs and 7 mins
Burner,Mark Greaney,Length: Not Yet Known
Boyfriend Material,Ilsa Madden-Mills,Length: 9 hrs and 31 mins
The Seventh Princess,D.C. Haenlien,Length: 12 hrs
Children of Memory,Adrian Tchaikovsky,Length: 21 hrs
Unforgivable,Natalie Barelli,Length: 9 hrs and 37 mins
Codependent No More,Melody Beattie,Length: Not Yet Known
